,Condition,targetID,signal_threshold,time_threshold(Cq)
0,ConditionA,m0,23768,43
1,ConditionA,m1,27871,46
2,ConditionA,m2,23924,14
3,ConditionA,m3,27781,17
4,ConditionA,m4,24665,35
5,ConditionA,m5,26160,23
6,ConditionA,m6,56283,97
7,ConditionA,m7,22229,31
8,ConditionA,m8,28361,65
9,ConditionA,m9,26009,53
10,ConditionA,m10,36519,49
11,ConditionA,m11,44591,49
12,ConditionA,m12,85821,81
13,ConditionA,m13,31929,51
14,ConditionA,m14,26086,24
15,ConditionA,m15,46698,43
16,ConditionA,m16,45983,54
17,ConditionA,m17,32359,79
18,ConditionA,m18,20196,60
19,ConditionA,m19,31072,60
20,ConditionA,m20,24008,25
21,ConditionA,m21,32087,77
22,ConditionA,m22,28769,41
23,ConditionA,m23,48053,65
24,ConditionA,m24,32173,23
25,ConditionA,m25,47062,35
26,ConditionA,m26,34037,57
27,ConditionA,m27,22061,38
28,ConditionA,m28,22558,37
29,ConditionA,m29,38202,27
30,ConditionA,m30,26206,35
31,ConditionA,m31,27791,24
32,ConditionB,m0,30740,61
33,ConditionB,m1,22660,30
34,ConditionB,m2,25363,51
35,ConditionB,m3,52256,50
36,ConditionB,m4,20854,37
37,ConditionB,m5,24499,32
38,ConditionB,m6,47085,90
39,ConditionB,m7,22985,48
40,ConditionB,m8,36546,85
41,ConditionB,m9,31738,55
42,ConditionB,m10,27253,51
43,ConditionB,m11,37665,47
44,ConditionB,m12,50328,54
45,ConditionB,m13,28974,52
46,ConditionB,m14,21154,25
47,ConditionB,m15,38403,48
48,ConditionB,m16,-1,-1
49,ConditionB,m17,24078,76
50,ConditionB,m18,27048,74
51,ConditionB,m19,28257,54
52,ConditionB,m20,21597,18
53,ConditionB,m21,27411,67
54,ConditionB,m22,20906,37
55,ConditionB,m23,129502,71
56,ConditionB,m24,20507,13
57,ConditionB,m25,31993,33
58,ConditionB,m26,32348,49
59,ConditionB,m27,27055,38
60,ConditionB,m28,22036,44
61,ConditionB,m29,32045,27
62,ConditionB,m30,21946,36
63,ConditionB,m31,61605,91
64,ConditionC,m0,-1,-1
65,ConditionC,m1,39520,54
66,ConditionC,m2,25411,57
67,ConditionC,m3,35958,50
68,ConditionC,m4,67176,91
69,ConditionC,m5,41697,44
70,ConditionC,m6,29431,102
71,ConditionC,m7,40628,43
72,ConditionC,m8,-14375,122
73,ConditionC,m9,27842,59
74,ConditionC,m10,53496,64
75,ConditionC,m11,29515,56
76,ConditionC,m12,22968,56
77,ConditionC,m13,-1,-1
78,ConditionC,m14,24257,52
79,ConditionC,m15,22096,40
80,ConditionC,m16,-1,-1
81,ConditionC,m17,68474,72
82,ConditionC,m18,50319,80
83,ConditionC,m19,-1,-1
84,ConditionC,m20,19734,30
85,ConditionC,m21,-1,-1
86,ConditionC,m22,-1,-1
87,ConditionC,m23,21406,59
88,ConditionC,m24,17685,27
89,ConditionC,m25,22395,40
90,ConditionC,m26,41414,63
91,ConditionC,m27,-778,73
92,ConditionC,m28,42146,54
93,ConditionC,m29,21648,27
94,ConditionC,m30,-34426,61
95,ConditionC,m31,65278,119
